family,framing,n,word,count,rank,total_words_in_cell,within_cell_proportion
openai,A,5,analytical,15,6,300,0.05
openai,A,5,accurate,11,7,300,0.03666666666666667
openai,A,5,friendly,11,8,300,0.03666666666666667
openai,A,5,thoughtful,10,9,300,0.03333333333333333
openai,A,5,adaptive,8,10,300,0.02666666666666667
openai,A,10,helpful,52,1,520,0.1
openai,A,10,concise,48,2,520,0.09230769230769231
openai,A,10,reliable,44,3,520,0.08461538461538462
openai,A,10,knowledgeable,36,4,520,0.06923076923076923
openai,A,10,adaptable,35,5,520,0.0673076923076923
openai,A,10,creative,35,6,520,0.0673076923076923
openai,A,10,analytical,34,7,520,0.06538461538461539
openai,A,10,curious,34,8,520,0.06538461538461539
openai,A,10,patient,23,9,520,0.04423076923076923
openai,A,10,friendly,18,10,520,0.03461538461538462
openai,B,1,adaptive,29,1,60,0.48333333333333334
openai,B,1,assistant,10,2,60,0.16666666666666666
openai,B,1,helpful,9,3,60,0.15
openai,B,1,chatgpt,6,4,60,0.1
openai,B,1,ai,2,5,60,0.03333333333333333
openai,B,1,adaptable,1,6,60,0.016666666666666666
openai,B,1,artificial,1,7,60,0.016666666666666666
openai,B,1,conversational,1,8,60,0.016666666666666666
openai,B,1,curious,1,9,60,0.016666666666666666
openai,B,3,helpful,53,1,177,0.2994350282485876
openai,B,3,adaptable,23,2,177,0.12994350282485875
openai,B,3,concise,16,3,177,0.0903954802259887
openai,B,3,curious,12,4,177,0.06779661016949153
openai,B,3,adaptive,11,5,177,0.062146892655367235
openai,B,3,ai assistant,10,6,177,0.05649717514124294
openai,B,3,conversational,9,7,177,0.05084745762711865
openai,B,3,analytical,8,8,177,0.04519774011299435
openai,B,3,precise,7,9,177,0.03954802259887006
openai,B,3,ai,5,10,177,0.02824858757062147
openai,B,5,helpful,52,1,260,0.2
openai,B,5,analytical,24,2,260,0.09230769230769231
openai,B,5,adaptive,23,3,260,0.08846153846153847
openai,B,5,adaptable,22,4,260,0.08461538461538462
openai,B,5,concise,21,5,260,0.08076923076923077
openai,B,5,reliable,20,6,260,0.07692307692307693
openai,B,5,artificial,18,7,260,0.06923076923076923
openai,B,5,conversational,13,8,260,0.05
openai,B,5,ai assistant,12,9,260,0.046153846153846156
openai,B,5,precise,11,10,260,0.04230769230769231
openai,B,10,helpful,40,1,400,0.1
openai,B,10,reliable,38,2,400,0.095
openai,B,10,knowledgeable,34,3,400,0.085
openai,B,10,conversational,32,4,400,0.08
openai,B,10,analytical,30,5,400,0.075
openai,B,10,creative,30,6,400,0.075
openai,B,10,adaptive,28,7,400,0.07
openai,B,10,curious,20,8,400,0.05
openai,B,10,concise,19,9,400,0.0475
openai,B,10,efficient,18,10,400,0.045
